query,product
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG"
algo para el dolor de cabeza,ESPIDIDOL 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA
algo para el dolor de cabeza,PARACETAMOL STADAPHARM 500 MG COMPRIMIDOS EFG
algo para el dolor de cabeza,GRIPPOSTAD CON IBUPROFENO 200 MG/5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,ANTIDOL 1 G POLVO EFERVESCENTE
algo para el dolor de cabeza,ANTIDOL INFANTIL 100 MG/ML SOLUCION ORAL
algo para el dolor de cabeza,DEXKETOPROFENO TECNIGEN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para el dolor de cabeza,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS
algo para el dolor de cabeza,IBUFEN 400 MG POLVO ORAL
algo para el dolor de cabeza,DEXKETOPROFENO STADAPHARM 25 MG SOLUCION ORAL EFG
algo para el dolor de cabeza,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,ADIRO 300MG comprimidos gastrorresistentes EFG
algo para el dolor de cabeza,IBUFEN JUNIOR 200 MG POLVO ORAL
algo para el dolor de cabeza,NAPROXENO SODICO NORMON 550 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para el dolor de cabeza,DIFENADOL 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,ENANDOL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,IBUPROFENO NORMON 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para el dolor de cabeza,GELOCATIL GRIPE FORTE CON FENILEFRINA GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,SALDEVA FORTE COMPRIMIDOS
algo para el dolor de cabeza,PHARMAFREN 200 MG/30 MG CAPSULAS DURAS
algo para el dolor de cabeza,ESPIDIFEN 600 MG GRANULADO PARA SOLUCION ORAL SABOR COLA-LIMON
algo para el dolor de cabeza,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG"
algo para el dolor de cabeza,IBUFEN 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,ANTIDOL 500 MG GRANULADO
algo para el dolor de cabeza,ENANDOL 25 MG GRANULADO PARA SOLUCIÓN ORAL
algo para el dolor de cabeza,TERMALGIN RESFRIADO 500 MG/30 MG POLVO PARA SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL GRIPE FORTE CON FENILEFRINA POLVO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO (ARGININA) NORMON 600 mg GRANULADO PARA SOLUCION ORAL EFG
algo para el dolor de cabeza,DILIBAN 75 mg/650 mg COMPRIMIDOS
algo para el dolor de cabeza,DIFENATIL INFANTIL 100 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,IBUFÉN XPRESS 400 MG GRANULADO PARA SOLUCIÓN ORAL
algo para el dolor de cabeza,PARACETAMOL SANDOZ CARE 500 MG COMPRIMIDOS EFG
algo para el dolor de cabeza,SERACTIL 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,PARACETAMOL NORMON 500 mg COMPRIMIDOS EFG
algo para el dolor de cabeza,ANTIDOL 500 mg COMPRIMIDOS RECUBIERTOS
algo para el dolor de cabeza,DOLOVANZ FORTE 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,PARACETAMOL STADAPHARM 650 MG COMPRIMIDOS EFG
algo para el dolor de cabeza,GRIPALNORM GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,DESENFRIOL C GRANULADO EFERVESCENTE
algo para el dolor de cabeza,GELOCATIL PEDIATRICO 100MG/ML SOLUCION ORAL
algo para el dolor de cabeza,PARACETAMOL CINFA 650 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para el dolor de cabeza,TRAMADOL/PARACETAMOL STADA 75 mg/650 mg COMPRIMIDOS
algo para el dolor de cabeza,NOVIDOL 50 mg/g GEL
algo para el dolor de cabeza,IBUPROFENO STADAPHARM 400 MG SUSPENSION ORAL
algo para el dolor de cabeza,FRENADOL DESCONGESTIVO CAPSULAS DURAS
algo para el dolor de cabeza,IBUPROFENO NORMON 20 mg/ml SUSPENSION ORAL EFG
algo para el dolor de cabeza,METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG
algo para el dolor de cabeza,CAFIASPIRINA 500 mg/50 mg COMPRIMIDOS
algo para el dolor de cabeza,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
algo para el dolor de cabeza,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,NAPROXENO NORMON 500 mg COMPRIMIDOS EFG
algo para el dolor de cabeza,GELOCATIL 650 mg COMPRIMIDOS
algo para el dolor de cabeza,ASPIRINA C 400 mg/240 mg COMPRIMIDOS EFERVESCENTES
algo para el dolor de cabeza,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,TERMALGIN 500 mg COMPRIMIDOS
algo para el dolor de cabeza,NOLOTIL 575 mg CAPSULAS DURAS
algo para el dolor de cabeza,ESPIDIFEN 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA
algo para el dolor de cabeza,CINFATOS COMPLEX suspensión oral
algo para el dolor de cabeza,ANTIDOL NIÑOS 325 MG GRANULADO
algo para el dolor de cabeza,"ENANDOL 12,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
algo para el dolor de cabeza,DIFENATIL 650 MG COMPRIMIDOS
algo para el dolor de cabeza,TRAMADOL/PARACETAMOL CINFA 75 MG/650 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,PHARMAGRIP CONGESTION Y SECRECION NASAL CAPSULAS
algo para el dolor de cabeza,IBUPROFENO (ARGININA) STADA 600 mg GRANULADO PARA SOLUCION ORAL EFG
algo para el dolor de cabeza,IBUPROFENO (ARGININA) SANDOZ 600 mg GRANULADO PARA SOLUCION ORAL EFG
