query,product
infección cutánea,"CLORXIL CON ALCOHOL ORANGE 20 MG/ML + 0,49 ML/ML SOLUCIÓN CUTÁNEA"
infección cutánea,CLORXIL 5 MG/ML SOLUCION PARA PULVERIZACION CUTANEA
dolor de regla,NAPROXENO NORMON 500 mg COMPRIMIDOS EFG
dolor de regla,ACTROMADOL 660 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA
dolor de regla,NAPROXENO SODICO NORMON 550 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor de regla,NAPROXENO SODICO CINFA 550 mg COMPRIMIDOS EFG
dolor de regla,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS
problemas para dormir,DIAZEPAM NORMON 10 MG COMPRIMIDOS EFG
problemas para dormir,DIAZEPAM CINFA 5 MG COMPRIMIDOS EFG
problemas para dormir,DIAZEPAM STADA 10 MG COMPRIMIDOS EFG
problemas para dormir,ORFIDAL 1 mg COMPRIMIDOS
problemas para dormir,LORAZEPAM NORMON 1 MG COMPRIMIDOS EFG
tengo ansiedad,QUETIAPINA SANDOZ FARMACEUTICA 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
tengo ansiedad,QUETIAPINA CINFA 300 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG
tengo ansiedad,QUETIAPINA VIATRIS 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo ansiedad,QUETIAPINA CINFA 150 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
tengo ansiedad,QUDIX 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor en el pecho,NITRODERM TTS 5 PARCHES TRANSDERMICOS
dolor en el pecho,DERMATRANS 15 mg/24 H PARCHE TRANSDERMICO
dolor en el pecho,NITRODERM TTS 15 PARCHES TRANSDERMICOS
dolor en el pecho,NITRODERM TTS 10 PARCHES TRANSDERMICOS
colesterol alto,PREVENCOR 80 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
colesterol alto,ATORVASTATINA STADA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
colesterol alto,ATOZET 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
colesterol alto,ATORVASTATINA CINFA 30 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
colesterol alto,EZETIMIBA/ATORVASTATINA STADAFARMA 10 MG/20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
anticonceptivo,GRACIAL COMPRIMIDOS
anticonceptivo,DESOGESTREL STADA 75 MICROGRAMOS COMPRIMIDOS EFG
anticonceptivo,DESOGESTREL STADAFARMA 75 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
anticonceptivo,AIACET 75 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
anticonceptivo,"SUAVURET 0,15 mg/0,02 mg COMPRIMIDOS"
tengo mareo,BETAHISTINA STADA 8 mg COMPRIMIDOS EFG
tengo mareo,BETAHISTINA SANDOZ 8 MG COMPRIMIDOS EFG
tengo mareo,BETAHISTINA CINFA 16 mg COMPRIMIDOS EFG
tengo mareo,BETAHISTINA SANDOZ 16 MG COMPRIMIDOS EFG
dolor fuerte,METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG
dolor fuerte,NOLOTIL 575 mg CAPSULAS DURAS
dolor fuerte,"NOLOTIL 0,4 g/ml SOLUCION INYECTABLE Y PARA PERFUSION"
dolor fuerte,"TRAMADOL/PARACETAMOL STADA 37,5 MG/325 MG COMPRIMIDOS EFERVESCENTES EFG"
dolor fuerte,"PAZITAL 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
antipsicótico,QUDIX PROLONG 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
antipsicótico,QUETIAPINA STADA 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
antipsicótico,QUETIAPINA NORMON 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
antipsicótico,QUDIX 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
antipsicótico,QUETIAPINA NORMON 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
epilepsia,LEVETIRACETAM SANDOZ 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
epilepsia,LEVETIRACETAM NORMON 1.500 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA
epilepsia,LEVETIRACETAM NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
epilepsia,LEVETIRACETAM NORMON 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
epilepsia,LEVETIRACETAM CINFA 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
infección respiratoria,ZITROMAX 500 mg POLVO PARA SOLUCION PARA PERFUSION
infección respiratoria,ZITROMAX 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
infección respiratoria,ZITROMAX 200 mg/5 ml POLVO PARA SUSPENSION ORAL EN FRASCO
infección respiratoria,AZITROMICINA VIATRIS 200 MG/5 ML POLVO PARA SUSPENSION ORAL EFG
infección respiratoria,AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG
