query,positive,negative
algo para el dolor de cabeza,ANTIDOL 1 G SOLUCION ORAL,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para el dolor de cabeza,ASPIRINA 500 mg COMPRIMIDOS EFERVESCENTES,CINFATOS 15 MG SOLUCION ORAL EN SOBRES
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL STADA 37,5 mg / 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",CINFATOS 10 mg PASTILLAS PARA CHUPAR
algo para el dolor de cabeza,IBUFEN INFANTIL 20 MG/ML SUSPENSION ORAL,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,ENDOLEX 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE
algo para el dolor de cabeza,VINCIGRIP CAPSULAS DURAS,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para el dolor de cabeza,PARACETAMOL CINFA 650 MG COMPRIMIDOS EFG,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL STADA 37,5 MG/325 MG COMPRIMIDOS EFERVESCENTES EFG","FLUTOX 3,54 mg/ml JARABE"
algo para el dolor de cabeza,GELOPROFEN RAPID 400 MG POLVO PARA SUSPENSION ORAL,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
algo para el dolor de cabeza,GELOCATIL 500 mg GRANULADO,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
algo para el dolor de cabeza,ESPIDIDOL 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL
algo para el dolor de cabeza,PARACETAMOL STADAPHARM 500 MG COMPRIMIDOS EFG,FRENADOL DESCONGESTIVO CAPSULAS DURAS
algo para el dolor de cabeza,GRIPPOSTAD CON IBUPROFENO 200 MG/5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,ANTIDOL 1 G POLVO EFERVESCENTE,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,ANTIDOL INFANTIL 100 MG/ML SOLUCION ORAL,PROPALCOF 15 mg/5 ml JARABE
algo para el dolor de cabeza,DEXKETOPROFENO TECNIGEN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para el dolor de cabeza,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para el dolor de cabeza,IBUFEN 400 MG POLVO ORAL,FRENADOL DESCONGESTIVO CAPSULAS DURAS
algo para el dolor de cabeza,DEXKETOPROFENO STADAPHARM 25 MG SOLUCION ORAL EFG,CINFATOS COMPLEX suspensión oral
algo para el dolor de cabeza,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL,CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
algo para el dolor de cabeza,ADIRO 300MG comprimidos gastrorresistentes EFG,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUFEN JUNIOR 200 MG POLVO ORAL,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,NAPROXENO SODICO NORMON 550 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"CINFATOS NOCHE 1,33 MG/ML + 2 MG/ML SOLUCION ORAL"
algo para el dolor de cabeza,DIFENADOL 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para el dolor de cabeza,ENANDOL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO NORMON 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL GRIPE FORTE CON FENILEFRINA GRANULADO PARA SOLUCION ORAL,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE
algo para el dolor de cabeza,SALDEVA FORTE COMPRIMIDOS,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,PHARMAFREN 200 MG/30 MG CAPSULAS DURAS,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,ESPIDIFEN 600 MG GRANULADO PARA SOLUCION ORAL SABOR COLA-LIMON,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES
algo para el dolor de cabeza,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG",NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUFEN 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,CINFATOS COMPLEX suspensión oral
algo para el dolor de cabeza,ANTIDOL 500 MG GRANULADO,CINFATOS 15 MG SOLUCION ORAL EN SOBRES
algo para el dolor de cabeza,ENANDOL 25 MG GRANULADO PARA SOLUCIÓN ORAL,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE
algo para el dolor de cabeza,TERMALGIN RESFRIADO 500 MG/30 MG POLVO PARA SOLUCION ORAL,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL GRIPE FORTE CON FENILEFRINA POLVO PARA SOLUCION ORAL,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO (ARGININA) NORMON 600 mg GRANULADO PARA SOLUCION ORAL EFG,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para el dolor de cabeza,DILIBAN 75 mg/650 mg COMPRIMIDOS,ANGITUSS 6MG/ML JARABE
algo para el dolor de cabeza,DIFENATIL INFANTIL 100 MG/ML SOLUCIÓN ORAL,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para el dolor de cabeza,IBUFÉN XPRESS 400 MG GRANULADO PARA SOLUCIÓN ORAL,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,PARACETAMOL SANDOZ CARE 500 MG COMPRIMIDOS EFG,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
algo para el dolor de cabeza,SERACTIL 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
algo para el dolor de cabeza,PARACETAMOL NORMON 500 mg COMPRIMIDOS EFG,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para el dolor de cabeza,ANTIDOL 500 mg COMPRIMIDOS RECUBIERTOS,CINFATOS COMPLEX suspensión oral
algo para el dolor de cabeza,DOLOVANZ FORTE 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,TOSSEVO 6 MG/ML JARABE EFG
algo para el dolor de cabeza,PARACETAMOL STADAPHARM 650 MG COMPRIMIDOS EFG,CINFATOS 15 MG SOLUCION ORAL EN SOBRES
algo para el dolor de cabeza,GRIPALNORM GRANULADO PARA SOLUCION ORAL,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,DESENFRIOL C GRANULADO EFERVESCENTE,CINFATOS 10 mg PASTILLAS PARA CHUPAR
algo para el dolor de cabeza,GELOCATIL PEDIATRICO 100MG/ML SOLUCION ORAL,"CINFATOS NOCHE 1,33 MG/ML + 2 MG/ML SOLUCION ORAL"
algo para el dolor de cabeza,PARACETAMOL CINFA 650 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,TRAMADOL/PARACETAMOL STADA 75 mg/650 mg COMPRIMIDOS,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,NOVIDOL 50 mg/g GEL,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO STADAPHARM 400 MG SUSPENSION ORAL,"FLUTOX 3,54 mg/ml JARABE"
algo para el dolor de cabeza,FRENADOL DESCONGESTIVO CAPSULAS DURAS,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO NORMON 20 mg/ml SUSPENSION ORAL EFG,CINFATOS 10 mg PASTILLAS PARA CHUPAR
algo para el dolor de cabeza,METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,CAFIASPIRINA 500 mg/50 mg COMPRIMIDOS,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",FRENADOL DESCONGESTIVO CAPSULAS DURAS
algo para el dolor de cabeza,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,PROPALCOF 15 mg/5 ml JARABE
algo para el dolor de cabeza,NAPROXENO NORMON 500 mg COMPRIMIDOS EFG,PROPALCOF 15 mg/5 ml JARABE
algo para el dolor de cabeza,GELOCATIL 650 mg COMPRIMIDOS,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,ASPIRINA C 400 mg/240 mg COMPRIMIDOS EFERVESCENTES,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,TERMALGIN 500 mg COMPRIMIDOS,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
algo para el dolor de cabeza,NOLOTIL 575 mg CAPSULAS DURAS,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,ESPIDIFEN 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,CINFATOS COMPLEX suspensión oral,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para el dolor de cabeza,ANTIDOL NIÑOS 325 MG GRANULADO,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para el dolor de cabeza,"ENANDOL 12,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",TOSSEVO 6 MG/ML JARABE EFG
algo para el dolor de cabeza,DIFENATIL 650 MG COMPRIMIDOS,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE
algo para el dolor de cabeza,TRAMADOL/PARACETAMOL CINFA 75 MG/650 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,PHARMAGRIP CONGESTION Y SECRECION NASAL CAPSULAS,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,IBUPROFENO (ARGININA) STADA 600 mg GRANULADO PARA SOLUCION ORAL EFG,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO (ARGININA) SANDOZ 600 mg GRANULADO PARA SOLUCION ORAL EFG,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
