query,positive,negative
irritación en la garganta,"TRAMADOL/PARACETAMOL NORMON 37,5 mg/ 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",MEMANTINA FLAS NORMON 20 MG COMPRIMIDOS BUCODISPERSABLES EFG
irritación en la garganta,PARACETAMOL STADA 1 g COMPRIMIDOS EFG,HELIXATE NEXGEN 250 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
irritación en la garganta,"TRAMADOL/PARACETAMOL STADA 37,5 mg / 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","LOSARTAN NORMON 12,5 mg INICIO COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
irritación en la garganta,"PAZITAL 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",ATORVASTATINA STADA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
irritación en la garganta,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",CELESTONE CRONODOSE SUSPENSION INYECTABLE
garganta inflamada,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL,PRALUENT 150 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA
garganta inflamada,FRENADOL DESCONGESTIVO CAPSULAS DURAS,ZONISAMIDA NORMON 100 MG CAPSULAS DURAS EFG
garganta inflamada,DESENFRIOL C GRANULADO EFERVESCENTE,OCULOTECT 50 mg/ml COLIRIO EN SOLUCION
garganta inflamada,"TRAMADOL/PARACETAMOL STADA 37,5 MG/325 MG COMPRIMIDOS EFERVESCENTES EFG","OPTIALERG 5 MG/ML + 0,25 MG/ML COLIRIO EN SOLUCION"
garganta inflamada,TERMALGIN 500 mg COMPRIMIDOS,PAMIDRONATO HOSPIRA 3 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION
molestia al tragar,GELOCATIL 1 g COMPRIMIDOS,SIMVASTATINA CINFAMED 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
molestia al tragar,GELOCATIL 650 mg SOLUCION ORAL,DESVENLAFAXINA NORMON 100 MG COMPRIMIDOS DE LIBERACIÓN PROLONGADA EFG
molestia al tragar,GELOCATIL 500 mg GRANULADO,ZONISAMIDA SANDOZ 25 MG CAPSULAS DURAS EFG
molestia al tragar,CINFATOS COMPLEX suspensión oral,TOPIRAMATO TECNIGEN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
molestia al tragar,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL,"WETIRIN 0,2 mg COMPRIMIDOS"
algo para la tos,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION,TETRIDAR 20 MICROGRAMOS/80 MICROLITROS SOLUCION INYECTABLE EN PLUMA PRECARGADA
algo para la tos,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres,"HIBOR 3.500 UI ANTI XA/0,2 ml SOLUCIÓN INYECTABLE EN JERINGAS PRECARGADAS"
algo para la tos,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL",VILDAGLIPTINA/METFORMINA NORMON 50 MG/1.000 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para la tos,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL,GELOCATIL 500 mg GRANULADO
algo para la tos,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES,OLANZAPINA CINFA 10 MG CAPSULAS DURAS EFG
no paro de toser,CINFATOS COMPLEX suspensión oral,EZETIMIBA/SIMVASTATINA TECNIGEN 10 MG/40 MG COMPRIMIDOS EFG
no paro de toser,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL,VALDOXAN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
no paro de toser,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,JARDIANCE 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
no paro de toser,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL",LEVODOPA/CARBIDOPA/ENTACAPONA STADA 150 MG/37.5 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
no paro de toser,CINFATOS 15 MG SOLUCION ORAL EN SOBRES,GLUCOBAY 100 mg COMPRIMIDOS
tos seca,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL,DARZALEX 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION
tos seca,FRENADOL DESCONGESTIVO CAPSULAS DURAS,TADALAFILO STADA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tos seca,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS",RALTEGRAVIR DR. REDDYS 600 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tos seca,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION,MICOFENOLATO DE MOFETILO CINFA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tos seca,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,"OLMESARTAN/AMLODIPINO/HIDROCLOROTIAZIDA CINFAMED 40 MG/5 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
tos con mocos,"CINFATOS NOCHE 1,33 MG/ML + 2 MG/ML SOLUCION ORAL",ARDORAL 75 mg comprimidos recubiertos
tos con mocos,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres,XADAGO 50 mg comprimidos recubiertos con pelicula
tos con mocos,CINFATOS DESCONGESTIVO SOLUCION ORAL,MEMANTINA FLAS STADA 10 MG COMPRIMIDOS BUCODISPERSABLES EFG
tos con mocos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,SOLIFENACINA STADA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tos con mocos,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL,ESCITALOPRAM TECNIGEN 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo alergia,DESENFRIOL C GRANULADO EFERVESCENTE,NARINE REPETABS 5 mg/120 mg COMPRIMIDOS DE LIBERACION PROLONGADA
tengo alergia,PHARMAGRIP FORTE CONGESTION Y SECRECION NASAL POLVO PARA SUSPENSION ORAL,QUETIAPINA CINFA 400 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG
tengo alergia,LORATADINA STADA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ROXITROMICINA SANDOZ 150 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo alergia,RESPIBIEN ANTIALERGICO SOLUCION PARA PULVERIZACION NASAL,"BIMEOX 0,3 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS"
tengo alergia,NORMOGRIP CAPSULAS DURAS,SOLIFENACINA STADA 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me pican los ojos,CETIRIZINA SANDOZ 10 mg/ml GOTAS ORALES EN SOLUCION EFG,NIULIVA 250 U.I./ml SOLUCION PARA PERFUSION
me pican los ojos,GRIPALNORM GRANULADO PARA SOLUCION ORAL,"SERETIDE 25 microgramos/50 microgramos/INHALACIÓN, SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN"
me pican los ojos,NARINE REPETABS 5 mg/120 mg COMPRIMIDOS DE LIBERACION PROLONGADA,DIFENADEX 25 MG CAPSULAS DURAS
me pican los ojos,DESENFRIOL C GRANULADO EFERVESCENTE,OMEPRAZOL STADAPHARM 20 MG CAPSULAS DURAS GASTRORRESISTENTES
me pican los ojos,NORMOGRIP CAPSULAS DURAS,QUETIAPINA CINFA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
congestión por alergia,GELOCATIL GRIPE FORTE CON FENILEFRINA POLVO PARA SOLUCION ORAL,"INALADUO ACCUHALER 50 microgramos/500 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN"
congestión por alergia,NARINE REPETABS 5 mg/120 mg COMPRIMIDOS DE LIBERACION PROLONGADA,TAGRISSO 80 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
congestión por alergia,DESLORATADINA SANDOZ 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ZIPRASIDONA STADA 60 mg CAPSULAS DURAS EFG
congestión por alergia,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,QUINAPRIL NORMON 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
congestión por alergia,ALERCINA 10 mg COMPRIMIDOS,IRBESARTAN VIATRIS 150 MG COMPRIMIDOS EFG
síntomas alérgicos,"TERMALGIN GRIPE 650 MG/15,58 MG/4 MG GRANULADO PARA SOLUCION ORAL",GLICLAZIDA STADA 60 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG
síntomas alérgicos,RESPIBIEN ANTIALERGICO SOLUCION PARA PULVERIZACION NASAL,ULTRACAIN CON EPINEFRINA 40 MG/ML + 10 MICROGRAMOS/ML SOLUCION INYECTABLE
síntomas alérgicos,NARINE REPETABS 5 mg/120 mg COMPRIMIDOS DE LIBERACION PROLONGADA,"HBVAXPRO 40 microgramos, SUSPENSION INYECTABLE"
síntomas alérgicos,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,"OLMESARTAN/HIDROCLOROTIAZIDA SANDOZ 40 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
síntomas alérgicos,Dasselta 5 mg comprimidos recubiertos con pelicula EFG,ESPIDIFEN 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA
me siento ansioso,DIAZEPAM STADA 10 MG COMPRIMIDOS EFG,VISCOTEARS 2 mg/g GEL OFTALMICO
me siento ansioso,QUETIAPINA CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG"
me siento ansioso,DIAZEPAM CINFA 5 MG COMPRIMIDOS EFG,"SOFTACORT 3,35 MG/ML COLIRIO EN SOLUCION EN ENVASES UNIDOSIS"
me siento ansioso,QUETIAPINA NORMON 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,JURNISTA 8 mg COMPRIMIDOS DE LIBERACION PROLONGADA
me siento ansioso,QUETIAPINA SANDOZ FARMACEUTICA 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,BUCOMAX PASTILLAS PARA CHUPAR SABOR MIEL Y LIMON
tengo ansiedad,QUETIAPINA TECNIGEN 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,TERMALGIN RESFRIADO 500 MG/30 MG POLVO PARA SOLUCION ORAL
tengo ansiedad,QUETIAPINA STADA 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,XEPLION 75 mg SUSPENSION INYECTABLE DE LIBERACION PROLONGADA
tengo ansiedad,LORAZEPAM DESGEN 5 mg comprimidos,NOVORAPID 100 U/ML SOLUCION INYECTABLE EN VIAL
tengo ansiedad,QUETIAPINA NORMON 300 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,NOVOEIGHT 1500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
tengo ansiedad,QUETIAPINA STADA 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ZOLPIDEM NORMON 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
nerviosismo constante,QUETIAPINA SANDOZ FARMACEUTICA 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,DOCETAXEL HOSPIRA 10 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION
nerviosismo constante,QUETIAPINA STADA 50 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,BETAHISTINA SANDOZ 8 MG COMPRIMIDOS EFG
nerviosismo constante,QUETIAPINA TECNIGEN 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,XTANDI 40 MG CAPSULAS BLANDAS
nerviosismo constante,QUETIAPINA STADA 400 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,AMLODIPINO/VALSARTAN STADA 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
nerviosismo constante,ORFIDAL 1 mg COMPRIMIDOS,LERCANIDIPINO NORMON 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
necesito calmarme,DIAZEPAM STADA 10 MG COMPRIMIDOS EFG,CEFUROXIMA SANDOZ 250 mg COMPRIMIDOS RECUBIERTOS EFG
necesito calmarme,QUETIAPINA NORMON 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,DERATIN 5 mg COMPRIMIDOS PARA CHUPAR
necesito calmarme,QUETIAPINA SANDOZ FARMACEUTICA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ZEFFIX 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
necesito calmarme,QUETIAPINA CINFA 300 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,GELOCATIL PEDIATRICO 100MG/ML SOLUCION ORAL
necesito calmarme,QUETIAPINA TECNIGEN 300 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,RISPERIDONA SANDOZ 6 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duelen los músculos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,PRIVIGEN 100 mg/ml SOLUCION PARA PERFUSION
me duelen los músculos,PHARMAGRIP CONGESTION Y SECRECION NASAL CAPSULAS,QUETIAPINA SANDOZ FARMACEUTICA 300 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duelen los músculos,IBUDOL 400 MG CAPSULAS BLANDAS,DEXDOR 100 MICROGRAMOS/ML CONCENTRADO PARA SOLUCION PARA PERFUSION (25X2 ml)
me duelen los músculos,ESPIDIFEN 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA,KENGREXAL 50 MG POLVO PARA CONCENTRADO PARA SOLUCION INYECTABLE Y PARA PERFUSION
me duelen los músculos,"PAXIFLAS 37,5 MG/325 MG COMPRIMIDOS BUCODISPERSABLES EFG",CANESTEN 10 mg/ml SOLUCION PARA PULVERIZACION CUTANEA
dolor corporal,TRAMADOL/PARACETAMOL CINFA 75 MG/650 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,FARMIBLASTINA 50 mg POLVO PARA SOLUCION INYECTABLE
dolor corporal,FRENADOL DESCONGESTIVO CAPSULAS DURAS,HIDROSALURETIL 25 MG COMPRIMIDOS EFG
dolor corporal,PARACETAMOL CINFA 650 MG COMPRIMIDOS EFG,EBASTINA STADA 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor corporal,IBUFEN 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,VALSARTAN/HIDROCLOROTIAZIDA CINFA 160 mg/25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor corporal,"TRAMADOL/PARACETAMOL STADA 37,5 mg / 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","TRANKIMAZIN 0,50 mg COMPRIMIDOS"
molestia muscular,ACTROMADOL 660 MG COMPRIMIDOS DE LIBERACIÓN MODIFICADA,"PONVORY 2, 3, 4, 5, 6, 7, 8, 9 y 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
molestia muscular,IBUDOL 50 MG/G GEL,GEMCITABINA HOSPIRA 1000 mg CONCENTRADO PARA SOLUCION PARA PERFUSION
molestia muscular,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA,YERVOY 5 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION
molestia muscular,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",BILASTINA STADAPHARM 20 MG COMPRIMIDOS EFG
molestia muscular,PARACETAMOL/IBUPROFENO SANDOZ CARE 500 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA CINFAMED 10 MG/160 MG/25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tensión muscular,GELOCATIL GRIPE FORTE CON FENILEFRINA GRANULADO PARA SOLUCION ORAL,SITAGLIPTINA CINFAMED 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tensión muscular,FRENADOL DESCONGESTIVO CAPSULAS DURAS,ESCITALOPRAM VISO FARMACEUTICA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tensión muscular,IBUFEN 50 MG/G GEL,AIACET 75 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tensión muscular,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL,"AMLODIPINO/VALSARTAN/HIDROCLOROTIAZIDA CINFAMED 5 MG/160 MG/12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
tensión muscular,PARACETAMOL ACCORD 10 mg/ml SOLUCION PARA PERFUSION EFG,XARELTO 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA (28 COMPRIMIDOS)
dolor intenso,TRAMADOL/PARACETAMOL STADA 75 mg/650 mg COMPRIMIDOS,JARDIANCE 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
dolor intenso,OXICODONA/NALOXONA CINFA 20 MG/10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,KOGENATE BAYER 2000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
dolor intenso,OXICODONA/NALOXONA STADA 10 MG/5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,CANDESARTAN TARBIS 32 MG COMPRIMIDOS EFG
dolor intenso,CAPTOR SIMPLEX 200 MG CAPSULAS DURAS DE LIBERACION PROLONGADA,GLICLAZIDA UXA 30 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG
dolor intenso,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG",EUTIROX 25 microgramos COMPRIMIDOS
dolor muy fuerte,TARGIN 20 mg/10 mg COMPRIMIDOS DE LIBERACION PROLONGADA,OLMESARTAN/AMLODIPINO STADA 40 MG/5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor muy fuerte,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG
dolor muy fuerte,TRAMADOL RETARD STADA 200 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,"INALADUO ACCUHALER 50 microgramos/250 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN"
dolor muy fuerte,OXICODONA/NALOXONA STADA 40 MG/20 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,FELDENE FLAS 20 mg LIOFILIZADO ORAL
dolor muy fuerte,TRAMADOL STADA 50 mg CAPSULAS DURAS EFG,MONONITRATO DE ISOSORBIDA NORMON 40 mg COMPRIMIDOS EFG
me duele mucho,"ZALDIAR 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA","DROSPIRENONA/ETINILESTRADIOL CINFALAB 3MG / 0,02MG COMPRIMIDOS RECUBIERTOS CON PELICULA (24+4) EFG"
me duele mucho,OXICODONA/NALOXONA CINFA 20 MG/10 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,MEMANTINA TECNIGEN 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele mucho,METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG,DIFENADEX 25 MG CAPSULAS DURAS
me duele mucho,"OXICODONA/NALOXONA CINFA 5 MG/2,5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG",AZACITIDINA SANDOZ 25 MG/ML POLVO PARA SOLUCION INYECTABLE EFG
me duele mucho,OXICODONA/NALOXONA STADA 10 MG/5 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,"YASMIN DIARIO 3 mg / 0,03 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
